Titolo corso,Percorso identitario,tipologia corso/seminario,periodo (1 o 2 sem.),Anno di corso,n. ore,Ente
La ricerca di vita extraterrestre,SFD,corso,1 semestre,1,25,IUSS Pavia
I buchi neri,SFD,seminario,1 semestre,1,12,IUSS Pavia
"Statistical and probabilistic methods for engineering applications",CSR,corso laboratoriale,2 semestre,1,25,IUSS Pavia
Risk reliability and catastrophe modelling,CSR,seminario,2 semestre,1,10,IUSS Pavia
"Metodi statistici e machine learning per l'analisi di big data",SFD,corso laboratoriale,1 semestre,2,25,IUSS Pavia,
Le Reti nei Sistemi Complessi,CSR,seminario,1 semestre,2,10,IUSS Pavia
Missioni Spaziali per l'osservazione della Terra,SFD,corso laboratoriale,2 semestre,2,25,IUSS Pavia
"Making machine learning work for science: a hands-on introduction to explainability, interpretability, causality and fairness",SFD,seminario,2 semestre,2,10,INAF
Introduction to Climate Dynamics,CSR,corso,1 semestre,3,25,IUSS Pavia
Climate change: future projections and the IPCC report,CSR,seminario,1 semestre,3,10,IUSS Pavia,
Superare i confini: la tecnologia della salute sotto la lente dell'innovation management,CSR,corso,2 semestre,3,25,IUSS Pavia
Matematica umanistica: musica arte  architettura filosofia,CSR,seminario,2 semestre,3,10,IUSS Pavia
Radiative processes in astrophysics,SFD,corso,1 semestre,4,25,IUSS Pavia
La frontiera tra naturale e artificiale,MCL,seminario,1 semestre,4,10,IUSS Pavia
Machine Learning for Imaging Data,SFD,corso laboratoriale,2 semestre,4,25,IUSS Pavia
Safe and Sustainable by Design Chemicals and Materials,CSR,corso,2 semestre,4,25,IUSS Pavia
Paleoclimatology: reading the Past to inform the Future,CSR,seminario,2 semestre,4,10,Universit? di Pavia
Telerilevamento applicato allo studio dei rischi geologici,CSR,corso laboratoriale,1 semestre,5,25,IUSS Pavia
"Wind Science and Engineering: measurement, modeling and simulation",CSR,seminario,1 semestre,5,10,IUSS Pavia
High energy astrophysics,SFD,corso,2 semestre,5,25,IUSS Pavia
"Model jungle: understanding models to understand weather forecast and climate change",CSR,seminario,2 semestre,5,10,IUSS Pavia
Modelling and control of epidemic dynamics: from emerging phenomena to data-driven approaches,CSR,seminario,1 semestre,5,10,Universit? di Pavia